Commands,Hard Label,Soft Label
Enter the blue room without entering a red room.,1,1
"Move to the large blue room, while avoiding the small red room.",1,1
"Go to the blue room, but avoid the red room.",1,1
ACTTION COMMAND OF REAL TIME OF ROBERT TARGET,,
"Green and yellow are safe, but red is not.",,
Go through the red and to the blue.,1,1
Do not go through the red room.,,
Enter any room not red.,,
Move to the blue room avoiding the red room.,1,1
Go into any room but the red rooms.,,
Do not go to the room colored red.,,
Go through the room which isn't red to get to the blue room,1,1
"Move toward either the yellow or green room, then into the blue room.",,1
Do not go through the red room,,
Do not go to red room.,,
go through either the yellow or the green room to get to the blue room,,1
"go to the blue room, but avoid the red room",1,1
Go to red room without going through red.,,
go to the blue room but avoid the red room,1,1
Don't go through the red room towards the blue room,1,1
Proceed through any color room except red.,,
enter the blue room by any room that is not red.,1,1
Avoid the red room.,,
green or yellow,,
Exit through any hall except the red ones.,,
"Leave the pink room, go to the yellow room, now go to the blue room",,
The robot avoids red to get to blue.,1,1
Avoid red room always among the option,,
go through the room that is not red,,
Use green and yellow rooms,,
Enter the room that is not red which will lead to the blue room.,1,1
Do not go into the room that is red.,,
Go into the green room and then into the yellow room.,,
Go to the blue room while not passing through the red room on the way.,1,1
stay out of red rooms,,
Go through the green or yellow room,,
Go through the yellow or green rooms.,,
Go only through rooms that are not red to get to the blue room.,1,1
go through the green or yellow room to the blue room,,1
Head through the yellow room to the blue room.,,
go to blue but not through red,1,1
"Go from the pink room to the blue room, while not ever crossing through the red room.",,1
move the robot to the small yellow or green room and then to the large blue room,,1
Enter the blue room through the yellow room.,,
leave the pink room and go through yellow room to the blue.,,
incorrect,,
go through the yellow or green room to get to the blue room,,1
go passed the small squares into the large square,,
Go to blue via green or yellow but not red.,1,1
To reach the blue room do not go through the red room.,1,1
Go into any room except the red room.,,
Avoid red rooms while going to the blue one.,1,1
Do not go through a red room,,
Use only a green or yellow corridor.,,
Pass directly though the green room to enter the blue room.,,
follow the yellow room to the blue room,,
"Travel from the pink room, avoiding the red room, to get to the blue room.",,1
GO THRU THE YELLOW PATH,,
Enter the room that is not red.,,
Go to the blue area by avoiding red area,1,1
Do not go through the red room.,,
robot not entered in to the yellow way,,
Move through the room that is not red.,,
Took the yellow room to the blue room and the green room to the blue room.,,1
go up through the yellow room into the blue room,,
Go in the yellow room.,,
transit non red,,
Go towards the blue room and avoid the red room,1,1
white green white blue,,
Move to the blue room without entering a red room.,1,1
move through the yellow rectangular room into the large blue room.,,
Avoid the red room and end at the blue rectangular room.,1,1
Do not pass through the red room,,
,60,86
